count,geoid,minwage,place,region,state
67,4838632,7.25,"Keller city, Texas",Keller,Texas
1395,4872530,7.25,"The Colony city, Texas",The Colony,Texas
86,4880356,7.25,"Wylie city, Texas",Wylie,Texas
2149,4852356,7.25,"North Richland Hills city, Texas",North Richland Hills,Texas
44,4843012,7.25,"Little Elm city, Texas",Little Elm,Texas
2140,4813024,7.25,"Carrollton city, Texas",Carrollton,Texas
1239,4816612,7.25,"Coppell city, Texas",Coppell,Texas
1343,4861796,7.25,"Richardson city, Texas",Richardson,Texas
12,4811428,7.25,"Burleson city, Texas",Burleson,Texas
617,4863572,7.25,"Rowlett city, Texas",Rowlett,Texas
29,4866428,7.25,"Seagoville city, Texas",Seagoville,Texas
17,4825572,7.25,"Fate city, Texas",Fate,Texas
500,4801924,7.25,"Allen city, Texas",Allen,Texas
29,4861196,7.25,"Red Oak city, Texas",Red Oak,Texas
1415,4842508,7.25,"Lewisville city, Texas",Lewisville,Texas
15,4863668,7.25,"Royse City city, Texas",Royse,Texas
65,4805168,7.25,"Azle city, Texas",Azle,Texas
78,4824348,7.25,"Ennis city, Texas",Ennis,Texas
5,4848096,7.25,"Midlothian city, Texas",Midlothian,Texas
1762,4847892,7.25,"Mesquite city, Texas",Mesquite,Texas
2435,4829000,7.25,"Garland city, Texas",Garland,Texas
92,4862828,7.25,"Rockwall city, Texas",Rockwall,Texas
1454,4804000,7.25,"Arlington city, Texas",Arlington,Texas
1,4826604,7.25,"Forney city, Texas",Forney,Texas
4,3720080,7.25,"Eden city, North Carolina",Eden,North Carolina
35,5121344,7.25,"Danville city, Virginia",Danville,Virginia
2,5149784,7.25,"Martinsville city, Virginia",Martinsville,Virginia
10,3925396,8.3,"Englewood city, Ohio",Englewood,Ohio
59,3979492,8.3,"Vandalia city, Ohio",Vandalia,Ohio
778,3925914,8.3,"Fairborn city, Ohio",Fairborn,Ohio
3000,4858016,7.25,"Plano city, Texas",Plano,Texas
503,3974076,8.3,"Springboro city, Ohio",Springboro,Ohio
7,3962848,8.3,"Piqua city, Ohio",Piqua,Ohio
2868,3921000,8.3,"Dayton city, Ohio",Dayton,Ohio
490,3949840,8.3,"Middletown city, Ohio",Middletown,Ohio
34,3942364,8.3,"Lebanon city, Ohio",Lebanon,Ohio
4,3977588,8.3,"Troy city, Ohio",Troy,Ohio
34,1254200,8.25,"Palm Coast city, Florida",Palm Coast,Florida
1,3979072,8.3,"Urbana city, Ohio",Urbana,Ohio
7,3986772,8.3,"Xenia city, Ohio",Xenia,Ohio
163,3974118,8.3,"Springfield city, Ohio",Springfield,Ohio
13,1248625,8.25,"New Smyrna Beach city, Florida",New Smyrna Beach,Florida
3,3985792,8.3,"Wilmington city, Ohio",Wilmington,Ohio
33,1251825,8.25,"Orange City city, Florida",Orange,Florida
17,1219825,8.25,"Edgewater city, Florida",Edgewater,Florida
1213,1216525,8.25,"Daytona Beach city, Florida",Daytona Beach,Florida
181,1217200,8.25,"Deltona city, Florida",Deltona,Florida
154,1718823,8.25,"Decatur city, Illinois",Decatur,Illinois
1,1047030,8.25,"Middletown town, Delaware",Middletown,Delaware
406,1258575,8.25,"Port Orange city, Florida",Port Orange,Florida
1149,1253150,8.25,"Ormond Beach city, Florida",Ormond Beach,Florida
589,1216875,8.25,"DeLand city, Florida",DeLand,Florida
75,1004130,8.25,"Bear CDP, Delaware",Bear,Delaware
4,4821892,7.25,"Eagle Pass city, Texas",Eagle Pass,Texas
121,2425800,8.75,"Elkton town, Maryland",Elkton,Maryland
3,1067310,8.25,"Smyrna town, Delaware",Smyrna,Delaware
0,4874588,7.25,"Uvalde city, Texas",Uvalde,Texas
4,4819792,7.25,"Del Rio city, Texas",Del Rio,Texas
6,1047420,8.25,"Milford city, Delaware",Milford,Delaware
251,1021200,8.25,"Dover city, Delaware",Dover,Delaware
3000,845255,10.2,"Littleton city, Colorado",Littleton,Colorado
1679,3949434,8.3,"Miamisburg city, Ohio",Miamisburg,Ohio
1652,808675,10.2,"Brighton city, Colorado",Brighton,Colorado
2419,857630,10.2,"Parker town, Colorado",Parker,Colorado
0,827810,10.2,"Fort Morgan city, Colorado",Fort Morgan,Colorado
193,816495,10.2,"Commerce City city, Colorado",Commerce,Colorado
2991,824785,10.2,"Englewood city, Colorado",Englewood,Colorado
3000,804000,10.2,"Aurora city, Colorado",Aurora,Colorado
3000,803455,10.2,"Arvada city, Colorado",Arvada,Colorado
1190,883835,10.2,"Westminster city, Colorado",Westminster,Colorado
3000,820000,10.2,"Denver city, Colorado",Denver,Colorado
618,884440,10.2,"Wheat Ridge city, Colorado",Wheat Ridge,Colorado
220,1939765,7.25,"Johnston city, Iowa",Johnston,Iowa
377,1914520,7.25,"Clive city, Iowa",Clive,Iowa
268,1933060,7.25,"Grimes city, Iowa",Grimes,Iowa
3000,1921000,7.25,"Des Moines city, Iowa",Des Moines,Iowa
173,1901630,7.25,"Altoona city, Iowa",Altoona,Iowa
742,1957675,7.25,"Norwalk city, Iowa",Norwalk,Iowa
1,1962040,7.25,"Pella city, Iowa",Pella,Iowa
220,1982695,7.25,"Waukee city, Iowa",Waukee,Iowa
35,1938280,7.25,"Indianola city, Iowa",Indianola,Iowa
317,1902305,7.25,"Ankeny city, Iowa",Ankeny,Iowa
85,2616160,9.25,"Clawson city, Michigan",Clawson,Michigan
1423,812415,10.2,"Castle Rock town, Colorado",Castle Rock,Colorado
972,1979950,7.25,"Urbandale city, Iowa",Urbandale,Iowa
11,1956505,7.25,"Newton city, Iowa",Newton,Iowa
7,2647800,9.25,"Lincoln Park city, Michigan",Lincoln Park,Michigan
1084,1983910,7.25,"West Des Moines city, Iowa",West Des Moines,Iowa
13,2627880,9.25,"Ferndale city, Michigan",Ferndale,Michigan
46,2637420,9.25,"Hazel Park city, Michigan",Hazel Park,Michigan
32,2624290,9.25,"Eastpointe city, Michigan",Eastpointe,Michigan
11,2636700,9.25,"Harper Woods city, Michigan",Harper Woods,Michigan
87,2659920,9.25,"Oak Park city, Michigan",Oak Park,Michigan
54,2607660,9.25,"Berkley city, Michigan",Berkley,Michigan
27,2638180,9.25,"Highland Park city, Michigan",Highland Park,Michigan
33,2669800,9.25,"Roseville city, Michigan",Roseville,Michigan
215,2650560,9.25,"Madison Heights city, Michigan",Madison Heights,Michigan
126,2631420,9.25,"Garden City city, Michigan",Garden,Michigan
27,2652940,9.25,"Melvindale city, Michigan",Melvindale,Michigan
153,2630420,9.25,"Fraser city, Michigan",Fraser,Michigan
3000,2622000,9.25,"Detroit city, Michigan",Detroit,Michigan
212,2670040,9.25,"Royal Oak city, Michigan",Royal Oak,Michigan
715,2601380,9.25,"Allen Park city, Michigan",Allen Park,Michigan
1527,2679000,9.25,"Taylor city, Michigan",Taylor,Michigan
29,2636280,9.25,"Hamtramck city, Michigan",Hamtramck,Michigan
1570,2604105,9.25,"Auburn Hills city, Michigan",Auburn Hills,Michigan
268,2640680,9.25,"Inkster city, Michigan",Inkster,Michigan
1712,2665440,9.25,"Pontiac city, Michigan",Pontiac,Michigan
674,2621020,9.25,"Dearborn Heights city, Michigan",Dearborn Heights,Michigan
157,2649000,9.25,"Livonia city, Michigan",Livonia,Michigan
192,2670760,9.25,"St. Clair Shores city, Michigan",St. Clair Shores,Michigan
234,2608640,9.25,"Birmingham city, Michigan",Birmingham,Michigan
13,124184,7.25,"Enterprise city, Alabama",Enterprise,Alabama
302,2684000,9.25,"Warren city, Michigan",Warren,Michigan
5,157648,7.25,"Ozark city, Alabama",Ozark,Alabama
638,2686000,9.25,"Westland city, Michigan",Westland,Michigan
25,121184,7.25,"Dothan city, Alabama",Dothan,Alabama
194,2680700,9.25,"Troy city, Michigan",Troy,Michigan
141,2676460,9.25,"Sterling Heights city, Michigan",Sterling Heights,Michigan
20,5563250,7.25,"Platteville city, Wisconsin",Platteville,Wisconsin
65,1922395,7.25,"Dubuque city, Iowa",Dubuque,Iowa
18,2728790,9.65,"Hibbing city, Minnesota",Hibbing,Minnesota
843,2621000,9.25,"Dearborn city, Michigan",Dearborn,Michigan
314,2655820,9.25,"Mount Clemens city, Michigan",Mount Clemens,Michigan
1012,2674900,9.25,"Southfield city, Michigan",Southfield,Michigan
307,2717000,9.65,"Duluth city, Minnesota",Duluth,Minnesota
3,2712160,9.65,"Cloquet city, Minnesota",Cloquet,Minnesota
178,5578650,7.25,"Superior city, Wisconsin",Superior,Wisconsin
447,2627380,9.25,"Farmington city, Michigan",Farmington,Michigan
12,1607840,7.25,"Blackfoot city, Idaho",Blackfoot,Idaho
0,5640120,5.15,"Jackson town, Wyoming",Jackson,Wyoming
10,2424475,8.75,"Easton town, Maryland",Easton,Maryland
58,1664090,7.25,"Pocatello city, Idaho",Pocatello,Idaho
87,1639700,7.25,"Idaho Falls city, Idaho",Idaho Falls,Idaho
90,1667420,7.25,"Rexburg city, Idaho",Rexburg,Idaho
38,2412400,8.75,"Cambridge city, Maryland",Cambridge,Maryland
55,3774540,7.25,"Wilson city, North Carolina",Wilson,North Carolina
14,3757500,7.25,"Rocky Mount city, North Carolina",Rocky Mount,North Carolina
0,3766700,7.25,"Tarboro town, North Carolina",Tarboro,North Carolina
0,3756900,7.25,"Roanoke Rapids city, North Carolina",Roanoke Rapids,North Carolina
33,3726880,7.25,"Goldsboro city, North Carolina",Goldsboro,North Carolina
110,3735920,7.25,"Kinston city, North Carolina",Kinston,North Carolina
47,4843888,7.25,"Longview city, Texas",Longview,Texas
2,4839124,7.25,"Kilgore city, Texas",Kilgore,Texas
9,3268550,7.25,"Spring Creek CDP, Nevada",Spring Creek,Nevada
131,5522300,7.25,"Eau Claire city, Wisconsin",Eau Claire,Wisconsin
1,4870904,7.25,"Sulphur Springs city, Texas",Sulphur Springs,Texas
157,2469925,8.75,"Salisbury city, Maryland",Salisbury,Maryland
18,4854708,7.25,"Palestine city, Texas",Palestine,Texas
362,3728080,7.25,"Greenville city, North Carolina",Greenville,North Carolina
16,3222500,7.25,"Elko city, Nevada",Elko,Nevada
54,4023950,7.25,"Enid city, Oklahoma",Enid,Oklahoma
945,4874144,7.25,"Tyler city, Texas",Tyler,Texas
1422,3575640,7.5,"Sunland Park city, New Mexico",Sunland Park,New Mexico
1160,4123850,9.5,"Eugene city, Oregon",Eugene,Oregon
56,5551025,7.25,"Menomonie city, Wisconsin",Menomonie,Wisconsin
129,224230,9.84,"Fairbanks city, Alaska",Fairbanks,Alaska
1,1879208,7.25,"Vincennes city, Indiana",Vincennes,Indiana
177,5514575,7.25,"Chippewa Falls city, Wisconsin",Chippewa Falls,Wisconsin
3000,4824000,7.25,"El Paso city, Texas",El Paso,Texas
10,3618256,10.4,"Corning city, New York",Corning,New York
230,3624229,10.4,"Elmira city, New York",Elmira,New York
1,4082150,7.25,"Woodward city, Oklahoma",Woodward,Oklahoma
16,2720906,9.65,"Fergus Falls city, Minnesota",Fergus Falls,Minnesota
3,2135866,7.25,"Henderson city, Kentucky",Henderson,Kentucky
664,1822000,7.25,"Evansville city, Indiana",Evansville,Indiana
311,4224000,7.25,"Erie city, Pennsylvania",Erie,Pennsylvania
1108,3825700,7.25,"Fargo city, North Dakota",Fargo,North Dakota
971,3884780,7.25,"West Fargo city, North Dakota",West Fargo,North Dakota
1255,2743864,9.65,"Moorhead city, Minnesota",Moorhead,Minnesota
97,822035,10.2,"Durango city, Colorado",Durango,Colorado
0,3528460,7.5,"Gallup city, New Mexico",Gallup,New Mexico
500,566080,8.5,"Springdale city, Arkansas",Springdale,Arkansas
30,3525800,7.5,"Farmington city, New Mexico",Farmington,New Mexico
2,530460,8.5,"Harrison city, Arkansas",Harrison,Arkansas
3,560410,8.5,"Rogers city, Arkansas",Rogers,Arkansas
24,564370,8.5,"Siloam Springs city, Arkansas",Siloam Springs,Arkansas
208,505320,8.5,"Bentonville city, Arkansas",Bentonville,Arkansas
166,504840,8.5,"Bella Vista city, Arkansas",Bella Vista,Arkansas
188,512820,8.5,"Centerton city, Arkansas",Centerton,Arkansas
357,523290,8.5,"Fayetteville city, Arkansas",Fayetteville,Arkansas
9,4072100,7.25,"Tahlequah city, Oklahoma",Tahlequah,Oklahoma
4,3739700,7.25,"Lumberton city, North Carolina",Lumberton,North Carolina
20,3759280,7.25,"Sanford city, North Carolina",Sanford,North Carolina
72,3732640,7.25,"Hope Mills town, North Carolina",Hope Mills,North Carolina
176,3763120,7.25,"Southern Pines town, North Carolina",Southern Pines,North Carolina
71,3764180,7.25,"Spring Lake town, North Carolina",Spring Lake,North Carolina
14,465350,10.5,"Sedona city, Arizona",Sedona,Arizona
2,3737220,7.25,"Laurinburg city, North Carolina",Laurinburg,North Carolina
176,3751940,7.25,"Pinehurst village, North Carolina",Pinehurst,North Carolina
2073,3722920,7.25,"Fayetteville city, North Carolina",Fayetteville,North Carolina
12,3628640,10.4,"Geneva city, New York",Geneva,New York
505,423620,10.5,"Flagstaff city, Arizona",Flagstaff,Arizona
71,4525810,7.25,"Florence city, South Carolina",Florence,South Carolina
264,2612060,9.25,"Burton city, Michigan",Burton,Michigan
0,5613900,5.15,"Cheyenne city, Wyoming",Cheyenne,Wyoming
1,5645050,5.15,"Laramie city, Wyoming",Laramie,Wyoming
521,2629000,9.25,"Flint city, Michigan",Flint,Michigan
5,2661940,9.25,"Owosso city, Michigan",Owosso,Michigan
114,825280,10.2,"Evans city, Colorado",Evans,Colorado
12,839855,10.2,"Johnstown town, Colorado",Johnstown,Colorado
2262,846465,10.2,"Loveland city, Colorado",Loveland,Colorado
56,885485,10.2,"Windsor town, Colorado",Windsor,Colorado
2285,827425,10.2,"Fort Collins city, Colorado",Fort Collins,Colorado
1,1974280,7.25,"Spencer city, Iowa",Spencer,Iowa
282,2627760,9.25,"Fenton city, Michigan",Fenton,Michigan
200,832155,10.2,"Greeley city, Colorado",Greeley,Colorado
56,4570405,7.25,"Sumter city, South Carolina",Sumter,South Carolina
14,1928515,7.25,"Fort Dodge city, Iowa",Fort Dodge,Iowa
70,1258350,8.25,"Port Charlotte CDP, Florida",Port Charlotte,Florida
35,1239925,8.25,"Lehigh Acres CDP, Florida",Lehigh Acres,Florida
23,1233250,8.25,"Immokalee CDP, Florida",Immokalee,Florida
76,1259200,8.25,"Punta Gorda city, Florida",Punta Gorda,Florida
1,1975630,7.25,"Storm Lake city, Iowa",Storm Lake,Iowa
62,1247625,8.25,"Naples city, Florida",Naples,Florida
1,1221150,8.25,"Estero village, Florida",Estero,Florida
5,1243083,8.25,"Marco Island city, Florida",Marco Island,Florida
12,1207525,8.25,"Bonita Springs city, Florida",Bonita Springs,Florida
899,1224125,8.25,"Fort Myers city, Florida",Fort Myers,Florida
861,1249350,8.25,"North Fort Myers CDP, Florida",North Fort Myers,Florida
827,1210275,8.25,"Cape Coral city, Florida",Cape Coral,Florida
175,524550,8.5,"Fort Smith city, Arkansas",Fort Smith,Arkansas
79,571480,8.5,"Van Buren city, Arkansas",Van Buren,Arkansas
10,1835302,7.25,"Huntington city, Indiana",Huntington,Indiana
102,2431175,8.75,"Gaithersburg city, Maryland",Gaithersburg,Maryland
238,1852992,7.25,"New Haven city, Indiana",New Haven,Indiana
503,1825000,7.25,"Fort Wayne city, Indiana",Fort Wayne,Indiana
81,5129744,7.25,"Fredericksburg city, Virginia",Fredericksburg,Virginia
20,5120752,7.25,"Culpeper town, Virginia",Culpeper,Virginia
35,2483100,8.75,"Westminster city, Maryland",Westminster,Maryland
9,5144984,7.25,"Leesburg town, Virginia",Leesburg,Virginia
73,646828,11.0,"Mendota city, California",Mendota,California
1,655856,11.0,"Parlier city, California",Parlier,California
3000,645022,11.0,"Madera city, California",Madera,California
362,2430325,8.75,"Frederick city, Maryland",Frederick,Maryland
7,5103320,7.25,"Ashburn CDP, Virginia",Ashburn,Virginia
14,1802674,7.25,"Auburn city, Indiana",Auburn,Indiana
1,2421475,8.75,"Damascus CDP, Maryland",Damascus,Maryland
7,667056,11.0,"Sanger city, California",Sanger,California
3000,627000,11.0,"Fresno city, California",Fresno,California
16,2453325,8.75,"Montgomery Village CDP, Maryland",Montgomery Village,Maryland
34,2432025,8.75,"Germantown CDP, Maryland",Germantown,Maryland
5,638226,11.0,"Kerman city, California",Kerman,California
3,660242,11.0,"Reedley city, California",Reedley,California
1,127616,7.25,"Fort Payne city, Alabama",Fort Payne,Alabama
3000,614218,11.0,"Clovis city, California",Clovis,California
2,174592,7.25,"Talladega city, Alabama",Talladega,Alabama
6,128696,7.25,"Gadsden city, Alabama",Gadsden,Alabama
20,157576,7.25,"Oxford city, Alabama",Oxford,Alabama
21,101852,7.25,"Anniston city, Alabama",Anniston,Alabama
65,4827420,7.25,"Freeport city, Texas",Freeport,Texas
17,4815652,7.25,"Clute city, Texas",Clute,Texas
31,4820344,7.25,"Dickinson city, Texas",Dickinson,Texas
17,4840588,7.25,"Lake Jackson city, Texas",Lake Jackson,Texas
1,100988,7.25,"Albertville city, Alabama",Albertville,Alabama
66,4872392,7.25,"Texas City city, Texas",Texas,Texas
1,138272,7.25,"Jacksonville city, Alabama",Jacksonville,Alabama
310,4828068,7.25,"Galveston city, Texas",Galveston,Texas
1,5061225,10.5,"Rutland city, Vermont",Rutland,Vermont
430,4805180,7.25,"Bacliff CDP, Texas",Bacliff,Texas
3,619220,11.0,"Diamond Springs CDP, California",Diamond Springs,California
1041,4841980,7.25,"League City city, Texas",League,Texas
119,4865726,7.25,"Santa Fe city, Texas",Santa Fe,Texas
93,3665255,10.4,"Saratoga Springs city, New York",Saratoga Springs,New York
24,3629443,10.4,"Gloversville city, New York",Gloversville,New York
2,657540,11.0,"Placerville city, California",Placerville,California
23,621880,11.0,"El Dorado Hills CDP, California",El Dorado Hills,California
28,603204,11.0,"Auburn city, California",Auburn,California
0,673108,11.0,"South Lake Tahoe city, California",South Lake Tahoe,California
1209,1225175,8.25,"Gainesville city, Florida",Gainesville,Florida
910,3832060,7.25,"Grand Forks city, North Dakota",Grand Forks,North Dakota
93,3629333,10.4,"Glens Falls city, New York",Glens Falls,New York
39,3119595,9.0,"Grand Island city, Nebraska",Grand Island,Nebraska
11,3125055,9.0,"Kearney city, Nebraska",Kearney,Nebraska
6,3121415,9.0,"Hastings city, Nebraska",Hastings,Nebraska
73,3032800,8.15,"Great Falls city, Montana",Great Falls,Montana
1,2640860,9.25,"Ionia city, Michigan",Ionia,Michigan
1,5577975,7.25,"Suamico village, Wisconsin",Suamico,Wisconsin
22,5581325,7.25,"Two Rivers city, Wisconsin",Two Rivers,Wisconsin
19,5549300,7.25,"Marinette city, Wisconsin",Marinette,Wisconsin
12,2641680,9.25,"Jenison CDP, Michigan",Jenison,Michigan
43,5519775,7.25,"De Pere city, Wisconsin",De Pere,Wisconsin
187,2688940,9.25,"Wyoming city, Michigan",Wyoming,Michigan
2215,2634000,9.25,"Grand Rapids city, Michigan",Grand Rapids,Michigan
254,2617700,9.25,"Comstock Park CDP, Michigan",Comstock Park,Michigan
3,3755900,7.25,"Reidsville city, North Carolina",Reidsville,North Carolina
45,3702080,7.25,"Asheboro city, North Carolina",Asheboro,North Carolina
202,5531000,7.25,"Green Bay city, Wisconsin",Green Bay,Wisconsin
463,3709060,7.25,"Burlington city, North Carolina",Burlington,North Carolina
3000,3728000,7.25,"Greensboro city, North Carolina",Greensboro,North Carolina
3000,3731400,7.25,"High Point city, North Carolina",High Point,North Carolina
196,2634160,9.25,"Grandville city, Michigan",Grandville,Michigan
269,3742240,7.25,"Mebane city, North Carolina",Mebane,North Carolina
5,4528060,7.25,"Gaffney city, South Carolina",Gaffney,South Carolina
1435,4566580,7.25,"Simpsonville city, South Carolina",Simpsonville,South Carolina
21,4521985,7.25,"Easley city, South Carolina",Easley,South Carolina
98,4514950,7.25,"Clemson city, South Carolina",Clemson,South Carolina
8,3727280,7.25,"Graham city, North Carolina",Graham,North Carolina
179,4501360,7.25,"Anderson city, South Carolina",Anderson,South Carolina
1784,4530850,7.25,"Greenville city, South Carolina",Greenville,South Carolina
733,4568290,7.25,"Spartanburg city, South Carolina",Spartanburg,South Carolina
657,2853520,7.25,"Ocean Springs city, Mississippi",Ocean Springs,Mississippi
359,4545115,7.25,"Mauldin city, South Carolina",Mauldin,South Carolina
721,4571395,7.25,"Taylors CDP, South Carolina",Taylors,South Carolina
1,4530895,7.25,"Greenwood city, South Carolina",Greenwood,South Carolina
935,4530985,7.25,"Greer city, South Carolina",Greer,South Carolina
946,2806220,7.25,"Biloxi city, Mississippi",Biloxi,Mississippi
113,2826860,7.25,"Gautier city, Mississippi",Gautier,Mississippi
251,2855360,7.25,"Pascagoula city, Mississippi",Pascagoula,Mississippi
75,2857160,7.25,"Picayune city, Mississippi",Picayune,Mississippi
819,2829700,7.25,"Gulfport city, Mississippi",Gulfport,Mississippi
410,2841680,7.25,"Long Beach city, Mississippi",Long Beach,Mississippi
143,2803980,7.25,"Bay St. Louis city, Mississippi",Bay St. Louis,Mississippi
256,641152,11.0,"Lemoore city, California",Lemoore,California
18,616224,11.0,"Corcoran city, California",Corcoran,California
12,603302,11.0,"Avenal city, California",Avenal,California
9,670882,11.0,"Selma city, California",Selma,California
38,614274,11.0,"Coalinga city, California",Coalinga,California
7,638562,11.0,"Kingsburg city, California",Kingsburg,California
120,5135624,7.25,"Harrisonburg city, Virginia",Harrisonburg,Virginia
44,985810,10.1,"Willimantic CDP, Connecticut",Willimantic,Connecticut
13,4211272,7.25,"Carlisle borough, Pennsylvania",Carlisle borough,Pennsylvania
14,2536335,11.0,"Longmeadow CDP, Massachusetts",Longmeadow,Massachusetts
10,4234144,7.25,"Hershey CDP, Pennsylvania",Hershey,Pennsylvania
252,631960,11.0,"Hanford city, California",Hanford,California
46,984970,10.1,"Wethersfield CDP, Connecticut",Wethersfield,Connecticut
39,5175216,7.25,"Staunton city, Virginia",Staunton,Virginia
945,937000,10.1,"Hartford city, Connecticut",Hartford,Connecticut
61,947290,10.1,"Middletown city, Connecticut",Middletown,Connecticut
511,4232800,7.25,"Harrisburg city, Pennsylvania",Harrisburg,Pennsylvania
26,987140,10.1,"Windsor Locks CDP, Connecticut",Windsor Locks,Connecticut
102,2500840,11.0,"Agawam Town city, Massachusetts",Agawam Town,Massachusetts
102,952210,10.1,"Newington CDP, Connecticut",Newington,Connecticut
237,908420,10.1,"Bristol city, Connecticut",Bristol,Connecticut
168,944690,10.1,"Manchester CDP, Connecticut",Manchester,Connecticut
49,3035600,8.15,"Helena city, Montana",Helena,Montana
8,2843280,7.25,"McComb city, Mississippi",McComb,Mississippi
561,922700,10.1,"East Hartford CDP, Connecticut",East Hartford,Connecticut
159,2567000,11.0,"Springfield city, Massachusetts",Springfield,Massachusetts
409,2856800,7.25,"Petal city, Mississippi",Petal,Mississippi
190,950370,10.1,"New Britain city, Connecticut",New Britain,Connecticut
12,2839640,7.25,"Laurel city, Mississippi",Laurel,Mississippi
5,2208150,7.25,"Bogalusa city, Louisiana",Bogalusa,Louisiana
45,3731060,7.25,"Hickory city, North Carolina",Hickory,North Carolina
515,982660,10.1,"West Hartford CDP, Connecticut",West Hartford,Connecticut
417,2831020,7.25,"Hattiesburg city, Mississippi",Hattiesburg,Mississippi
22,3747000,7.25,"Newton city, North Carolina",Newton,North Carolina
5,1522700,10.1,"Kahului CDP, Hawaii",Kahului,Hawaii
202,3738320,7.25,"Lincolnton city, North Carolina",Lincolnton,North Carolina
9,3737760,7.25,"Lenoir city, North Carolina",Lenoir,North Carolina
31,4504690,7.25,"Beaufort city, South Carolina",Beaufort,South Carolina
2,4558030,7.25,"Port Royal town, South Carolina",Port Royal,South Carolina
36,2601340,9.25,"Allendale CDP, Michigan",Allendale,Michigan
296,1571550,10.1,"Urban Honolulu CDP, Hawaii",Urban Honolulu,Hawaii
21,1514650,10.1,"Hilo CDP, Hawaii",Hilo,Hawaii
6,1542950,10.1,"Lahaina CDP, Hawaii",Lahaina,Hawaii
6,1536500,10.1,"Kihei CDP, Hawaii",Kihei,Hawaii
14,3761200,7.25,"Shelby city, North Carolina",Shelby,North Carolina
4,3744400,7.25,"Morganton city, North Carolina",Morganton,North Carolina
7,3764740,7.25,"Statesville city, North Carolina",Statesville,North Carolina
5,4534045,7.25,"Hilton Head Island town, South Carolina",Hilton Head Island,South Carolina
6,4507210,7.25,"Bluffton town, South Carolina",Bluffton,South Carolina
10,1579700,10.1,"Waipahu CDP, Hawaii",Waipahu,Hawaii
13,1523150,10.1,"Kailua CDP (Honolulu County), Hawaii",Kailua,Hawaii
28,1569050,10.1,"Schofield Barracks CDP, Hawaii",Schofield Barracks,Hawaii
214,2638640,9.25,"Holland city, Michigan",Holland,Michigan
31,1572650,10.1,"Wahiawa CDP, Hawaii",Wahiawa,Hawaii
18,1562600,10.1,"Pearl City CDP, Hawaii",Pearl,Hawaii
41,1551050,10.1,"Mililani Town CDP, Hawaii",Mililani Town,Hawaii
2,1528850,10.1,"Kapaa CDP, Hawaii",Kapaa,Hawaii
0,1578500,10.1,"Waimea CDP (Hawaii County), Hawaii",Waimea,Hawaii
16,1528250,10.1,"Kaneohe CDP, Hawaii",Kaneohe,Hawaii
4,1574450,10.1,"Waianae CDP, Hawaii",Waianae,Hawaii
15,1530300,10.1,"Kapolei CDP, Hawaii",Kapolei,Hawaii
3,1577450,10.1,"Wailuku CDP, Hawaii",Wailuku,Hawaii
111,2236255,7.25,"Houma city, Louisiana",Houma,Louisiana
1,2263155,7.25,"Raceland CDP, Louisiana",Raceland,Louisiana
2,2252040,7.25,"Morgan City city, Louisiana",Morgan,Louisiana
6,2275425,7.25,"Thibodaux city, Louisiana",Thibodaux,Louisiana
14,4803264,7.25,"Angleton city, Texas",Angleton,Texas
143,4870808,7.25,"Sugar Land city, Texas",Sugar Land,Texas
303,4835348,7.25,"Humble city, Texas",Humble,Texas
2113,4856000,7.25,"Pasadena city, Texas",Pasadena,Texas
776,4816432,7.25,"Conroe city, Texas",Conroe,Texas
1323,4838476,7.25,"Katy city, Texas",Katy,Texas
424,4806128,7.25,"Baytown city, Texas",Baytown,Texas
219,4807300,7.25,"Bellaire city, Texas",Bellaire,Texas
75,4869020,7.25,"South Houston city, Texas",South Houston,Texas
4,4827996,7.25,"Galena Park city, Texas",Galena Park,Texas
216,4819624,7.25,"Deer Park city, Texas",Deer Park,Texas
3000,4869596,7.25,"Spring CDP, Texas",Spring,Texas
349,4869908,7.25,"Stafford city, Texas",Stafford,Texas
3000,4835000,7.25,"Houston city, Texas",Houston,Texas
21,4827540,7.25,"Fresno CDP, Texas",Fresno,Texas
45,4841440,7.25,"La Porte city, Texas",La Porte,Texas
304,4848804,7.25,"Missouri City city, Texas",Missouri,Texas
458,4866392,7.25,"Seabrook city, Texas",Seabrook,Texas
87,4863284,7.25,"Rosenberg city, Texas",Rosenberg,Texas
337,4827648,7.25,"Friendswood city, Texas",Friendswood,Texas
1,3656979,10.4,"Peekskill city, New York",Peekskill,New York
411,4856348,7.25,"Pearland city, Texas",Pearland,Texas
90,3650034,10.4,"Newburgh city, New York",Newburgh,New York
116,3659641,10.4,"Poughkeepsie city, New York",Poughkeepsie,New York
39,3647042,10.4,"Middletown city, New York",Middletown,New York
79,4802272,7.25,"Alvin city, Texas",Alvin,Texas
59,602476,11.0,"Arcata city, California",Arcata,California
0,3648890,10.4,"Mount Kisco village, New York",Mount Kisco,New York
307,4873316,7.25,"Tomball city, Texas",Tomball,Texas
13,625296,11.0,"Fortuna city, California",Fortuna,California
32,3605100,10.4,"Beacon city, New York",Beacon,New York
26,918430,10.1,"Danbury city, Connecticut",Danbury,Connecticut
120,5439460,8.75,"Huntington city, West Virginia",Huntington,West Virginia
599,4814236,7.25,"Channelview CDP, Texas",Channelview,Texas
119,623042,11.0,"Eureka city, California",Eureka,California
0,3964304,8.3,"Portsmouth city, Ohio",Portsmouth,Ohio
