count,geoid,place,region,state
124,3402080,"Atlantic City city, New Jersey",Atlantic,New Jersey
7,3481380,"Williamstown CDP, New Jersey",Williamstown,New Jersey
77,3407600,"Bridgeton city, New Jersey",Bridgeton,New Jersey
21,1271900,"Titusville city, Florida",Titusville,Florida
4,3446680,"Millville city, New Jersey",Millville,New Jersey
1,3429430,"Hammonton town, New Jersey",Hammonton,New Jersey
9,3476070,"Vineland city, New Jersey",Vineland,New Jersey
48,1244275,"Merritt Island CDP, Florida",Merritt Island,Florida
0,1213175,"Cocoa Beach city, Florida",Cocoa Beach,Florida
11,1264400,"Satellite Beach city, Florida",Satellite Beach,Florida
3,1210250,"Cape Canaveral city, Florida",Cape Canaveral,Florida
34,1261500,"Rockledge city, Florida",Rockledge,Florida
731,1254000,"Palm Bay city, Florida",Palm Bay,Florida
766,1243975,"Melbourne city, Florida",Melbourne,Florida
212,1616750,"Coeur d'Alene city, Idaho",Coeur d'Alene,Idaho
124,1636370,"Hayden city, Idaho",Hayden,Idaho
211,1664810,"Post Falls city, Idaho",Post Falls,Idaho
2135,5367000,"Spokane city, Washington",Spokane,Washington
1656,2970000,"Springfield city, Missouri",Springfield,Missouri
0,547390,"Mountain Home city, Arkansas",Mountain Home,Arkansas
46,2961238,"Republic city, Missouri",Republic,Missouri
179,2955766,"Ozark city, Missouri",Ozark,Missouri
7,2906976,"Bolivar city, Missouri",Bolivar,Missouri
275,2952616,"Nixa city, Missouri",Nixa,Missouri
63,2907966,"Branson city, Missouri",Branson,Missouri
2,2978928,"West Plains city, Missouri",West Plains,Missouri
336,1772000,"Springfield city, Illinois",Springfield,Illinois
19,1712684,"Chatham village, Illinois",Chatham,Illinois
103,1373256,"Statesboro city, Georgia",Statesboro,Georgia
0,1774574,"Taylorville city, Illinois",Taylorville,Illinois
27,1738115,"Jacksonville city, Illinois",Jacksonville,Illinois
528,1262500,"St. Augustine city, Florida",St. Augustine,Florida
299,2758684,"Sauk Rapids city, Minnesota",Sauk Rapids,Minnesota
32,1379388,"Vidalia city, Georgia",Vidalia,Georgia
26,1253875,"Palatka city, Florida",Palatka,Florida
157,2758612,"Sartell city, Minnesota",Sartell,Minnesota
6,2730644,"Hutchinson city, Minnesota",Hutchinson,Minnesota
13,2770420,"Willmar city, Minnesota",Willmar,Minnesota
14,2700928,"Alexandria city, Minnesota",Alexandria,Minnesota
31,2743774,"Monticello city, Minnesota",Monticello,Minnesota
435,2756896,"St. Cloud city, Minnesota",St. Cloud,Minnesota
30,2705752,"Big Lake city, Minnesota",Big Lake,Minnesota
4,4937170,"Hurricane city, Utah",Hurricane,Utah
20,4911320,"Cedar City city, Utah",Cedar,Utah
19,3246000,"Mesquite city, Nevada",Mesquite,Nevada
24,4981960,"Washington city, Utah",Washington,Utah
12,4059850,"Ponca City city, Oklahoma",Ponca,Oklahoma
2,2002900,"Atchison city, Kansas",Atchison,Kansas
29,4965330,"St. George city, Utah",St. George,Utah
0,2946640,"Maryville city, Missouri",Maryville,Missouri
6,1725141,"Fairview Heights city, Illinois",Fairview Heights,Illinois
8,1783271,"Wood River city, Illinois",Wood River,Illinois
160,2964550,"St. Joseph city, Missouri",St. Joseph,Missouri
6,1729639,"Glen Carbon village, Illinois",Glen Carbon,Illinois
391,4070300,"Stillwater city, Oklahoma",Stillwater,Oklahoma
77,2901972,"Arnold city, Missouri",Arnold,Missouri
671,2964082,"St. Charles city, Missouri",St. Charles,Missouri
9,1730926,"Granite City city, Illinois",Granite,Illinois
21,1755249,"O'Fallon city, Illinois",O'Fallon,Illinois
509,2946586,"Maryland Heights city, Missouri",Maryland Heights,Missouri
514,2908398,"Bridgeton city, Missouri",Bridgeton,Missouri
75,1701114,"Alton city, Illinois",Alton,Illinois
588,2963956,"St. Ann city, Missouri",St. Ann,Missouri
679,2931276,"Hazelwood city, Missouri",Hazelwood,Missouri
1,2922834,"Eureka city, Missouri",Eureka,Missouri
14,1715599,"Collinsville city, Illinois",Collinsville,Illinois
41,2965126,"St. Peters city, Missouri",St. Peters,Missouri
62,1730094,"Godfrey village, Illinois",Godfrey,Illinois
0,1715833,"Columbia city, Illinois",Columbia,Illinois
12,2978442,"Wentzville city, Missouri",Wentzville,Missouri
1,1779150,"Waterloo city, Illinois",Waterloo,Illinois
45,1704845,"Belleville city, Illinois",Belleville,Illinois
3,2924094,"Festus city, Missouri",Festus,Missouri
0,2923752,"Farmington city, Missouri",Farmington,Missouri
18,1722697,"Edwardsville city, Illinois",Edwardsville,Illinois
331,2903160,"Ballwin city, Missouri",Ballwin,Missouri
919,2924778,"Florissant city, Missouri",Florissant,Missouri
267,2940043,"Lake St. Louis city, Missouri",Lake St. Louis,Missouri
202,675000,"Stockton city, California",Stockton,California
0,653070,"Oakley city, California",Oakley,California
11,680238,"Tracy city, California",Tracy,California
3,640704,"Lathrop city, California",Lathrop,California
0,619339,"Discovery Bay CDP, California",Discovery Bay,California
279,2954074,"O'Fallon city, Missouri",O'Fallon,Missouri
4,657456,"Pittsburg city, California",Pittsburg,California
0,608142,"Brentwood city, California",Brentwood,California
0,613882,"Clayton city, California",Clayton,California
0,628112,"Galt city, California",Galt,California
400,2913600,"Chesterfield city, Missouri",Chesterfield,Missouri
5,642202,"Lodi city, California",Lodi,California
4,645484,"Manteca city, California",Manteca,California
3,602252,"Antioch city, California",Antioch,California
28,677364,"Susanville city, California",Susanville,California
6,2018250,"Dodge City city, Kansas",Dodge,Kansas
0,2039825,"Liberal city, Kansas",Liberal,Kansas
9,5405332,"Beckley city, West Virginia",Beckley,West Virginia
0,2025325,"Garden City city, Kansas",Garden,Kansas
0,4031750,"Guymon city, Oklahoma",Guymon,Oklahoma
72,5109816,"Bristol city, Virginia",Bristol,Virginia
3,5408524,"Bluefield city, West Virginia",Bluefield,West Virginia
18,1376224,"Thomasville city, Georgia",Thomasville,Georgia
96,3603078,"Auburn city, New York",Auburn,New York
680,1245465,"Midway CDP (Santa Rosa County), Florida",Midway,Florida
1,1304896,"Bainbridge city, Georgia",Bainbridge,Georgia
427,3673000,"Syracuse city, New York",Syracuse,New York
196,1220275,"Elfers CDP, Florida",Elfers,Florida
14,1218575,"Dunedin city, Florida",Dunedin,Florida
60,3655574,"Oswego city, New York",Oswego,New York
1,1242850,"Mango CDP, Florida",Mango,Florida
1716,1270600,"Tallahassee city, Florida",Tallahassee,Florida
42,1251350,"Oldsmar city, Florida",Oldsmar,Florida
59,1256975,"Pinellas Park city, Florida",Pinellas Park,Florida
77,1279225,"Zephyrhills city, Florida",Zephyrhills,Florida
2,1275875,"Wesley Chapel CDP, Florida",Wesley Chapel,Florida
1181,1268350,"Spring Hill CDP, Florida",Spring Hill,Florida
3000,1271000,"Tampa city, Florida",Tampa,Florida
113,1262425,"Safety Harbor city, Florida",Safety Harbor,Florida
5,1201675,"Apollo Beach CDP, Florida",Apollo Beach,Florida
287,1231075,"Holiday CDP, Florida",Holiday,Florida
191,1225900,"Gibsonton CDP, Florida",Gibsonton,Florida
906,1208150,"Brandon CDP, Florida",Brandon,Florida
276,1271150,"Tarpon Springs city, Florida",Tarpon Springs,Florida
228,1239425,"Largo city, Florida",Largo,Florida
378,1271725,"Thonotosassa CDP, Florida",Thonotosassa,Florida
161,1254350,"Palm Harbor CDP, Florida",Palm Harbor,Florida
340,1264975,"Seminole city, Florida",Seminole,Florida
1047,1232825,"Hudson CDP, Florida",Hudson,Florida
904,1273700,"Valrico CDP, Florida",Valrico,Florida
6,1262275,"Ruskin CDP, Florida",Ruskin,Florida
9,1269250,"Sun City Center CDP, Florida",Sun,Florida
156,1875428,"Terre Haute city, Indiana",Terre Haute,Indiana
208,1260950,"Riverview CDP, Florida",Riverview,Florida
502,1212875,"Clearwater city, Florida",Clearwater,Florida
371,1248500,"New Port Richey city, Florida",New Port Richey,Florida
1025,1241775,"Lutz CDP, Florida",Lutz,Florida
12,568810,"Texarkana city, Arkansas",Texarkana,Arkansas
0,4849800,"Mount Pleasant city, Texas",Mount Pleasant,Texas
0,543460,"Magnolia city, Arkansas",Magnolia,Arkansas
0,510720,"Camden city, Arkansas",Camden,Arkansas
140,4872368,"Texarkana city, Texas",Texarkana,Texas
7,4000200,"Ada city, Oklahoma",Ada,Oklahoma
1,4827984,"Gainesville city, Texas",Gainesville,Texas
1,4022050,"Durant city, Oklahoma",Durant,Oklahoma
9,4002600,"Ardmore city, Oklahoma",Ardmore,Oklahoma
4,4803300,"Anna city, Texas",Anna,Texas
0,4809328,"Bonham city, Texas",Bonham,Texas
107,4819900,"Denison city, Texas",Denison,Texas
246,4867496,"Sherman city, Texas",Sherman,Texas
379,636294,"Imperial Beach city, California",Imperial Beach,California
144,1840788,"Lafayette city, Indiana",Lafayette,Indiana
2768,3977000,"Toledo city, Ohio",Toledo,Ohio
375,613392,"Chula Vista city, California",Chula Vista,California
5,3907972,"Bowling Green city, Ohio",Bowling Green,Ohio
1,1815742,"Crawfordsville city, Indiana",Crawfordsville,Indiana
188,1882862,"West Lafayette city, Indiana",West Lafayette,Indiana
103,3958730,"Oregon city, Ohio",Oregon,Ohio
101,3976022,"Sylvania city, Ohio",Sylvania,Ohio
4,3928014,"Fostoria city, Ohio",Fostoria,Ohio
477,3962148,"Perrysburg city, Ohio",Perrysburg,Ohio
1089,3948342,"Maumee city, Ohio",Maumee,Ohio
1994,2071000,"Topeka city, Kansas",Topeka,Kansas
52,2021275,"Emporia city, Kansas",Emporia,Kansas
68,1224300,"Fort Pierce city, Florida",Fort Pierce,Florida
42,1274150,"Vero Beach city, Florida",Vero Beach,Florida
16,1258727,"Port Salerno CDP, Florida",Port Salerno,Florida
14,1235550,"Jensen Beach CDP, Florida",Jensen Beach,Florida
14,1264825,"Sebastian city, Florida",Sebastian,Florida
15,1230975,"Hobe Sound CDP, Florida",Hobe Sound,Florida
109,1258715,"Port St. Lucie city, Florida",Port St. Lucie,Florida
39,1268875,"Stuart city, Florida",Stuart,Florida
86,4723500,"Elizabethton city, Tennessee",Elizabethton,Tennessee
6,422360,"Eloy city, Arizona",Eloy,Arizona
6,4730980,"Greeneville town, Tennessee",Greeneville,Tennessee
0,5168880,"Rose Hill CDP (Fairfax County), Virginia",Rose Hill,Virginia
18,462140,"Sahuarita town, Arizona",Sahuarita,Arizona
19,423760,"Florence town, Arizona",Florence,Arizona
19,429710,"Green Valley CDP, Arizona",Green Valley,Arizona
96,478540,"Vail CDP, Arizona",Vail,Arizona
971,411230,"Catalina Foothills CDP, Arizona",Catalina Foothills,Arizona
202,4739560,"Kingsport city, Tennessee",Kingsport,Tennessee
76,4708540,"Bristol city, Tennessee",Bristol,Tennessee
705,444270,"Marana town, Arizona",Marana,Arizona
404,4738320,"Johnson City city, Tennessee",Johnson,Tennessee
361,403530,"Arizona City CDP, Arizona",Arizona,Arizona
860,451600,"Oro Valley town, Arizona",Oro Valley,Arizona
567,4065300,"Sand Springs city, Oklahoma",Sand Springs,Oklahoma
6,4050050,"Muskogee city, Oklahoma",Muskogee,Oklahoma
3000,477000,"Tucson city, Arizona",Tucson,Arizona
16,4006400,"Bixby city, Oklahoma",Bixby,Oklahoma
251,4014700,"Claremore city, Oklahoma",Claremore,Oklahoma
3000,4075000,"Tulsa city, Oklahoma",Tulsa,Oklahoma
1,4055150,"Okmulgee city, Oklahoma",Okmulgee,Oklahoma
11,4029600,"Glenpool city, Oklahoma",Glenpool,Oklahoma
82,4065400,"Sapulpa city, Oklahoma",Sapulpa,Oklahoma
2775,4009050,"Broken Arrow city, Oklahoma",Broken Arrow,Oklahoma
392,4037800,"Jenks city, Oklahoma",Jenks,Oklahoma
394,4056650,"Owasso city, Oklahoma",Owasso,Oklahoma
582,155200,"Northport city, Alabama",Northport,Alabama
5,1611260,"Burley city, Idaho",Burley,Idaho
11,3955216,"New Philadelphia city, Ohio",New Philadelphia,Ohio
1,2879120,"West Point city, Mississippi",West Point,Mississippi
37,1641320,"Jerome city, Idaho",Jerome,Idaho
46,1682810,"Twin Falls city, Idaho",Twin Falls,Idaho
7,3654716,"Olean city, New York",Olean,New York
23,2651900,"Marquette city, Michigan",Marquette,Michigan
583,177256,"Tuscaloosa city, Alabama",Tuscaloosa,Alabama
0,4267344,"St. Marys city, Pennsylvania",St. Marys,Pennsylvania
72,2815380,"Columbus city, Mississippi",Columbus,Mississippi
0,2626360,"Escanaba city, Michigan",Escanaba,Michigan
2,1323872,"Douglas city, Georgia",Douglas,Georgia
56,3676540,"Utica city, New York",Utica,New York
0,1353060,"Moultrie city, Georgia",Moultrie,Georgia
53,3663418,"Rome city, New York",Rome,New York
3,611796,"Castaic CDP, California",Castaic,California
139,1378800,"Valdosta city, Georgia",Valdosta,Georgia
1,658296,"Port Hueneme city, California",Port Hueneme,California
1,653116,"Oak Park CDP, California",Oak Park,California
0,600394,"Agoura Hills city, California",Agoura Hills,California
8,670042,"Santa Paula city, California",Santa Paula,California
2,609598,"Calabasas city, California",Calabasas,California
0,649138,"Moorpark city, California",Moorpark,California
8,654652,"Oxnard city, California",Oxnard,California
1,669088,"Santa Clarita city, California",Santa Clarita,California
2,678582,"Thousand Oaks city, California",Thousand Oaks,California
5,624092,"Fillmore city, California",Fillmore,California
4,610046,"Camarillo city, California",Camarillo,California
1,674130,"Stevenson Ranch CDP, California",Stevenson Ranch,California
16,5066175,"South Burlington city, Vermont",South Burlington,Vermont
0,645246,"Malibu city, California",Malibu,California
6,672016,"Simi Valley city, California",Simi Valley,California
5,5024400,"Essex Junction village, Vermont",Essex Junction,Vermont
0,4822864,"El Campo city, Texas",El Campo,Texas
0,4858916,"Port Lavaca city, Texas",Port Lavaca,Texas
79,4875428,"Victoria city, Texas",Victoria,Texas
2,658240,"Porterville city, California",Porterville,California
24,5010675,"Burlington city, Vermont",Burlington,Vermont
1,619318,"Dinuba city, California",Dinuba,California
6,623616,"Farmersville city, California",Farmersville,California
7,680644,"Tulare city, California",Tulare,California
76,4805984,"Bay City city, Texas",Bay,Texas
1,641712,"Lindsay city, California",Lindsay,California
2,623126,"Exeter city, California",Exeter,California
37,682954,"Visalia city, California",Visalia,California
715,4876000,"Waco city, Texas",Waco,Texas
2,4870208,"Stephenville city, Texas",Stephenville,Texas
273,4833428,"Hewitt city, Texas",Hewitt,Texas
20,4817060,"Corsicana city, Texas",Corsicana,Texas
5,2476650,"Takoma Park city, Maryland",Takoma Park,Maryland
3,5151192,"Merrifield CDP, Virginia",Merrifield,Virginia
6,5114440,"Centreville CDP, Virginia",Centreville,Virginia
5,5130176,"Gainesville CDP, Virginia",Gainesville,Virginia
9,2418750,"College Park city, Maryland",College Park,Maryland
133,5126496,"Fairfax city, Virginia",Fairfax,Virginia
0,5148376,"McLean CDP, Virginia",McLean,Virginia
6,2475725,"Suitland CDP, Maryland",Suitland,Maryland
86,2407125,"Bethesda CDP, Maryland",Bethesda,Maryland
11,5148952,"Manassas city, Virginia",Manassas,Virginia
21,2459500,"Oxon Hill CDP, Maryland",Oxon Hill,Maryland
0,5158472,"Oakton CDP, Virginia",Oakton,Virginia
2,5101912,"Annandale CDP, Virginia",Annandale,Virginia
6,2406400,"Beltsville CDP, Maryland",Beltsville,Maryland
0,2411750,"Burtonsville CDP, Maryland",Burtonsville,Maryland
1,5154144,"Mount Vernon CDP, Virginia",Mount Vernon,Virginia
0,5111464,"Burke CDP, Virginia",Burke,Virginia
8,2434775,"Greenbelt city, Maryland",Greenbelt,Maryland
4,2433400,"Glenn Dale CDP, Maryland",Glenn Dale,Maryland
0,2458900,"Olney CDP, Maryland",Olney,Maryland
2,2445550,"Lanham CDP, Maryland",Lanham,Maryland
2,5147064,"Lorton CDP, Virginia",Lorton,Virginia
3,2463300,"Potomac CDP, Maryland",Potomac,Maryland
0,2417900,"Clinton CDP, Maryland",Clinton,Maryland
0,2429525,"Fort Washington CDP, Maryland",Fort Washington,Maryland
0,5126592,"Fairfax Station CDP, Virginia",Fairfax Station,Virginia
2,2400250,"Accokeek CDP, Maryland",Accokeek,Maryland
3,5181072,"Vienna town, Virginia",Vienna,Virginia
12,5127200,"Falls Church city, Virginia",Falls Church,Virginia
6,5132496,"Great Falls CDP, Virginia",Great Falls,Virginia
10,5174592,"Springfield CDP, Virginia",Springfield,Virginia
13,2467675,"Rockville city, Maryland",Rockville,Maryland
78,5103000,"Arlington CDP, Virginia",Arlington,Virginia
1,5114744,"Chantilly CDP, Virginia",Chantilly,Virginia
6,5166672,"Reston CDP, Virginia",Reston,Virginia
5,5136648,"Herndon town, Virginia",Herndon,Virginia
42,2472450,"Silver Spring CDP, Maryland",Silver Spring,Maryland
0,1982875,"Waverly city, Iowa",Waverly,Iowa
79,2441250,"Hyattsville city, Maryland",Hyattsville,Maryland
293,1911755,"Cedar Falls city, Iowa",Cedar Falls,Iowa
296,1982425,"Waterloo city, Iowa",Waterloo,Iowa
30,5175376,"Sterling CDP, Virginia",Sterling,Virginia
124,1150000,"Washington city, District of Columbia",Washington,District of Columbia
4,3626759,"Fort Drum CDP, New York",Fort Drum,New York
95,5101000,"Alexandria city, Virginia",Alexandria,Virginia
6,2445900,"Laurel city, Maryland",Laurel,Maryland
21,5549675,"Marshfield city, Wisconsin",Marshfield,Wisconsin
242,3678608,"Watertown city, New York",Watertown,New York
208,5584475,"Wausau city, Wisconsin",Wausau,Wisconsin
59,5588200,"Wisconsin Rapids city, Wisconsin",Wisconsin Rapids,Wisconsin
133,5577200,"Stevens Point city, Wisconsin",Stevens Point,Wisconsin
133,5563525,"Plover village, Wisconsin",Plover,Wisconsin
2,2546330,"Northampton city, Massachusetts",Northampton,Massachusetts
12,5377105,"Wenatchee city, Washington",Wenatchee,Washington
3,5320155,"East Wenatchee city, Washington",East Wenatchee,Washington
2,2154642,"Murray city, Kentucky",Murray,Kentucky
15,2576030,"Westfield city, Massachusetts",Westfield,Massachusetts
8,2530840,"Holyoke city, Massachusetts",Holyoke,Massachusetts
12,2546225,"North Adams city, Massachusetts",North Adams,Massachusetts
24,2553960,"Pittsfield city, Massachusetts",Pittsfield,Massachusetts
19,2513660,"Chicopee city, Massachusetts",Chicopee,Massachusetts
0,4980090,"Vernal city, Utah",Vernal,Utah
37,2158836,"Paducah city, Kentucky",Paducah,Kentucky
10,2421325,"Cumberland city, Maryland",Cumberland,Maryland
5,851745,"Montrose city, Colorado",Montrose,Colorado
45,828745,"Fruita city, Colorado",Fruita,Colorado
57,831660,"Grand Junction city, Colorado",Grand Junction,Colorado
24,5486452,"Wheeling city, West Virginia",Wheeling,West Virginia
11,2020075,"El Dorado city, Kansas",El Dorado,Kansas
14,2001800,"Andover city, Kansas",Andover,Kansas
2,2002300,"Arkansas City city, Kansas",Arkansas,Kansas
22,2017800,"Derby city, Kansas",Derby,Kansas
7,2050475,"Newton city, Kansas",Newton,Kansas
37,3974608,"Steubenville city, Ohio",Steubenville,Ohio
10,2033625,"Hutchinson city, Kansas",Hutchinson,Kansas
33,5485156,"Weirton city, West Virginia",Weirton,West Virginia
2,2079950,"Winfield city, Kansas",Winfield,Kansas
265,2031125,"Haysville city, Kansas",Haysville,Kansas
59,4811368,"Burkburnett city, Texas",Burkburnett,Texas
115,4285312,"Williamsport city, Pennsylvania",Williamsport,Pennsylvania
11,2688900,"Wyandotte city, Michigan",Wyandotte,Michigan
208,3774440,"Wilmington city, North Carolina",Wilmington,North Carolina
647,4879000,"Wichita Falls city, Texas",Wichita Falls,Texas
81,4207128,"Bloomsburg town, Pennsylvania",Bloomsburg,Pennsylvania
27,3737680,"Leland town, North Carolina",Leland,North Carolina
35,5186720,"Winchester city, Virginia",Winchester,Virginia
11,2674960,"Southgate city, Michigan",Southgate,Michigan
11,2680420,"Trenton city, Michigan",Trenton,Michigan
11,2668880,"Riverview city, Michigan",Riverview,Michigan
4,5129968,"Front Royal town, Virginia",Front Royal,Virginia
2359,2079000,"Wichita city, Kansas",Wichita,Kansas
20,3758860,"Salisbury city, North Carolina",Salisbury,North Carolina
1,3744800,"Mount Airy city, North Carolina",Mount Airy,North Carolina
39,3712960,"Clemmons village, North Carolina",Clemmons,North Carolina
182,3735600,"Kernersville town, North Carolina",Kernersville,North Carolina
1613,3775000,"Winston-Salem city, North Carolina",Winston-Salem,North Carolina
665,3738040,"Lewisville town, North Carolina",Lewisville,North Carolina
371,3767420,"Thomasville city, North Carolina",Thomasville,North Carolina
364,3738060,"Lexington city, North Carolina",Lexington,North Carolina
4,2573930,"Webster CDP, Massachusetts",Webster,Massachusetts
1,2538715,"Marlborough city, Massachusetts",Marlborough,Massachusetts
23,2525485,"Gardner city, Massachusetts",Gardner,Massachusetts
70,2535075,"Leominster city, Massachusetts",Leominster,Massachusetts
5,2563345,"Southbridge Town city, Massachusetts",Southbridge Town,Massachusetts
37,2582000,"Worcester city, Massachusetts",Worcester,Massachusetts
85,5667235,"Rock Springs city, Wyoming",Rock Springs,Wyoming
15,2552144,"Palmer Town city, Massachusetts",Palmer Town,Massachusetts
62,2523875,"Fitchburg city, Massachusetts",Fitchburg,Massachusetts
6,3339300,"Keene city, New Hampshire",Keene,New Hampshire
4,5666220,"Riverton city, Wyoming",Riverton,Wyoming
564,5613150,"Casper city, Wyoming",Casper,Wyoming
0,5368750,"Sunnyside city, Washington",Sunnyside,Washington
28,5321240,"Ellensburg city, Washington",Ellensburg,Washington
20,5380010,"Yakima city, Washington",Yakima,Washington
189,3980892,"Warren city, Ohio",Warren,Ohio
78,3975126,"Struthers city, Ohio",Struthers,Ohio
175,686972,"Yuba City city, California",Yuba,California
273,4287048,"York city, Pennsylvania",York,Pennsylvania
3,3923730,"East Liverpool city, Ohio",East Liverpool,Ohio
98,3955916,"Niles city, Ohio",Niles,Ohio
16,4253368,"New Castle city, Pennsylvania",New Castle,Pennsylvania
20,4234064,"Hermitage city, Pennsylvania",Hermitage,Pennsylvania
116,4223016,"Elizabethtown borough, Pennsylvania",Elizabethtown borough,Pennsylvania
1,630798,"Grass Valley city, California",Grass Valley,California
1,641922,"Live Oak CDP, California",Live Oak,California
151,653714,"Olivehurst CDP, California",Olivehurst,California
0,641474,"Lincoln city, California",Lincoln,California
442,3988000,"Youngstown city, Ohio",Youngstown,Ohio
172,646170,"Marysville city, California",Marysville,California
3,463470,"San Luis city, Arizona",San Luis,Arizona
3,3918868,"Coshocton city, Ohio",Coshocton,Ohio
468,468080,"Somerton city, Arizona",Somerton,Arizona
488,485540,"Yuma city, Arizona",Yuma,Arizona
196,3954040,"Newark city, Ohio",Newark,Ohio
33,3988084,"Zanesville city, Ohio",Zanesville,Ohio
count,geoid,place,region,state
78,5340805,"Lynden city, Washington",Lynden,Washington
0,4868624,"Snyder city, Texas",Snyder,Texas
4,4871540,"Sweetwater city, Texas",Sweetwater,Texas
4,4810780,"Brownwood city, Texas",Brownwood,Texas
67,3948244,"Massillon city, Ohio",Massillon,Ohio
12,3945976,"Macedonia city, Ohio",Macedonia,Ohio
31,3909680,"Brunswick city, Ohio",Brunswick,Ohio
87,3912000,"Canton city, Ohio",Canton,Ohio
1336,3901000,"Akron city, Ohio",Akron,Ohio
542,3919778,"Cuyahoga Falls city, Ohio",Cuyahoga Falls,Ohio
63,3974944,"Stow city, Ohio",Stow,Ohio
148,3976106,"Tallmadge city, Ohio",Tallmadge,Ohio
443,4801000,"Abilene city, Texas",Abilene,Texas
43,3903828,"Barberton city, Ohio",Barberton,Ohio
0,3903086,"Aurora city, Ohio",Aurora,Ohio
20,3980304,"Wadsworth city, Ohio",Wadsworth,Ohio
7,3901420,"Alliance city, Ohio",Alliance,Ohio
15,3965592,"Ravenna city, Ohio",Ravenna,Ohio
11,3978050,"Twinsburg city, Ohio",Twinsburg,Ohio
8,3936651,"Hudson city, Ohio",Hudson,Ohio
18,3931860,"Green city, Ohio",Green,Ohio
333,3939872,"Kent city, Ohio",Kent,Ohio
27,3948790,"Medina city, Ohio",Medina,Ohio
29,3975014,"Streetsboro city, Ohio",Streetsboro,Ohio
607,3665508,"Schenectady city, New York",Schenectady,New York
175,3678674,"Watervliet city, New York",Watervliet,New York
110,3616749,"Cohoes city, New York",Cohoes,New York
14,3602066,"Amsterdam city, New York",Amsterdam,New York
1,1302116,"Americus city, Georgia",Americus,Georgia
232,3675484,"Troy city, New York",Troy,New York
447,3601000,"Albany city, New York",Albany,New York
6,1319616,"Cordele city, Georgia",Cordele,Georgia
0,1376476,"Tifton city, Georgia",Tifton,Georgia
234,1301052,"Albany city, Georgia",Albany,Georgia
9,3543370,"Los Lunas village, New Mexico",Los Lunas,New Mexico
20,4221648,"Easton city, Pennsylvania",Easton,Pennsylvania
2,4233408,"Hazleton city, Pennsylvania",Hazleton,Pennsylvania
2436,3563460,"Rio Rancho city, New Mexico",Rio Rancho,New Mexico
14,4284512,"Whitehall borough, Pennsylvania",Whitehall borough,Pennsylvania
5,4223584,"Emmaus borough, Pennsylvania",Emmaus borough,Pennsylvania
10,3458350,"Phillipsburg town, New Jersey",Phillipsburg,New Jersey
64,4206088,"Bethlehem city, Pennsylvania",Bethlehem,Pennsylvania
3000,3502000,"Albuquerque city, New Mexico",Albuquerque,New Mexico
68,4202000,"Allentown city, Pennsylvania",Allentown,Pennsylvania
0,4833320,"Hereford city, Texas",Hereford,Texas
1,4809556,"Borger city, Texas",Borger,Texas
0,4821556,"Dumas city, Texas",Dumas,Texas
3,4854912,"Pampa city, Texas",Pampa,Texas
27,4236816,"Indiana borough, Pennsylvania",Indiana borough,Pennsylvania
23,4238288,"Johnstown city, Pennsylvania",Johnstown,Pennsylvania
878,203000,"Anchorage municipality, Alaska",Anchorage,Alaska
1453,4803000,"Amarillo city, Texas",Amarillo,Texas
594,1901855,"Ames city, Iowa",Ames,Iowa
2,1949755,"Marshalltown city, Iowa",Marshalltown,Iowa
28,1907480,"Boone city, Iowa",Boone,Iowa
172,4202184,"Altoona city, Pennsylvania",Altoona,Pennsylvania
4,2402275,"Arnold CDP, Maryland",Arnold,Maryland
6,2420875,"Crofton CDP, Maryland",Crofton,Maryland
1,2471200,"Severna Park CDP, Maryland",Severna Park,Maryland
12,2401600,"Annapolis city, Maryland",Annapolis,Maryland
23,2408775,"Bowie city, Maryland",Bowie,Maryland
1,2458300,"Odenton CDP, Maryland",Odenton,Maryland
0,2460475,"Pasadena CDP, Maryland",Pasadena,Maryland
37,2688140,"Wixom city, Michigan",Wixom,Michigan
39,2684940,"Wayne city, Michigan",Wayne,Michigan
23,5550825,"Menasha city, Wisconsin",Menasha,Wisconsin
936,2432650,"Glen Burnie CDP, Maryland",Glen Burnie,Maryland
115,2659440,"Novi city, Michigan",Novi,Michigan
146,2675100,"South Lyon city, Michigan",South Lyon,Michigan
10,5584425,"Waupun city, Wisconsin",Waupun,Wisconsin
70,5544950,"Little Chute village, Wisconsin",Little Chute,Wisconsin
1033,2603000,"Ann Arbor city, Michigan",Ann Arbor,Michigan
69,2669420,"Romulus city, Michigan",Romulus,Michigan
73,5526275,"Fond du Lac city, Wisconsin",Fond du Lac,Wisconsin
181,5502375,"Appleton city, Wisconsin",Appleton,Wisconsin
74,5560500,"Oshkosh city, Wisconsin",Oshkosh,Wisconsin
66,5555750,"Neenah city, Wisconsin",Neenah,Wisconsin
69,5538800,"Kaukauna city, Wisconsin",Kaukauna,Wisconsin
935,2689140,"Ypsilanti city, Michigan",Ypsilanti,Michigan
125,3730720,"Hendersonville city, North Carolina",Hendersonville,North Carolina
1,3918350,"Conneaut city, Ohio",Conneaut,Ohio
8,3902638,"Ashtabula city, Ohio",Ashtabula,Ohio
18,1383420,"Winder city, Georgia",Winder,Georgia
32,1347196,"Loganville city, Georgia",Loganville,Georgia
309,3702140,"Asheville city, North Carolina",Asheville,North Carolina
225,1331908,"Gainesville city, Georgia",Gainesville,Georgia
2,1352192,"Monroe city, Georgia",Monroe,Georgia
7,1341988,"Jefferson city, Georgia",Jefferson,Georgia
