	GeoID	Place Name	Indeed job count	Craigslist affordable house count	Population	Unemployment rate	Employment to population ratio	Number of people below the poverty level	Number of people with a bachelors degree or higher	Public transportation proportion	Simpsons diversity score	Affordable housing in market	Proportion of public transit to work under 30 minutes	SNAP-authorized Stores per 1000 people (2016)	Farmers Markets per 1000 people (2016)	Farmer Markets with SNAP per 1000 people (2016)	Farmer Markets with WIC per 1000 people (2016)	Farmer Markets with WIC Cash per 1000 people (2016)	Farmer Markets with SFMNP per 1000 people (2016)	Employment to population ratio percentage	Indeed job count normalized	Craigslist affordable house count normalized	Number of people below the poverty level normalized	Number of people with a bachelors degree or higher normalized	Population min_max_normalized	Unemployment rate min_max_normalized	Public transportation proportion min_max_normalized	Simpsons diversity score min_max_normalized	Affordable housing in market min_max_normalized	Proportion of public transit to work under 30 minutes min_max_normalized	SNAP-authorized Stores per 1000 people (2016) min_max_normalized	Farmers Markets per 1000 people (2016) min_max_normalized	Farmer Markets with SNAP per 1000 people (2016) min_max_normalized	Farmer Markets with WIC per 1000 people (2016) min_max_normalized	Farmer Markets with WIC Cash per 1000 people (2016) min_max_normalized	Farmer Markets with SFMNP per 1000 people (2016) min_max_normalized	Employment to population ratio percentage min_max_normalized	Indeed job count normalized min_max_normalized	Craigslist affordable house count normalized min_max_normalized	Number of people below the poverty level normalized min_max_normalized	Number of people with a bachelors degree or higher normalized min_max_normalized
17050	3479100	West Freehold CDP, New Jersey	528.0		13703	4.0	64.0	385	3737	0.08718726307808947	0.21201956170072656	0	0.14785214785214787	0.744739163	0.0					0.64	0.038531708385025176		0.028096037364080857	0.2727140042326498	0.0009002732032821803	0.1360544217687075	0.1238049435661059	0.2791490106292086	0.0	0.14785214785214784	0.09705987777195711	0.0					0.7202072538860104	0.23269592538129216		0.07563027932662988	0.46367242818129417
17051	3479310	West Long Branch borough, New Jersey	348.0		7944	5.3	57.5	196	1497	0.03228754188242461	0.11475993364629222	0	0.075							0.575	0.04380664652567976		0.024672708962739175	0.1884441087613293	0.00022702643303129386	0.18027210884353742	0.04584795025692706	0.1507136290657152	0.0	0.07499999999999998							0.6360103626943004	0.26460152466919323		0.0664151975033385	0.3190355920601717
17052	3479610	West New York town, New Jersey	979.0		53345	8.9	63.3	6114	9001	0.5346829674422681	0.5356679739733444	356	0.43200000000000005	0.886968862	0.020869856000000003	0.0	0.0	0.0	0.0	0.633	0.01835223544849564		0.11461242853125879	0.1687318399100197	0.005534558403192866	0.30272108843537415	0.7592438651349691	0.7065401918846802	0.008811444977971388	0.43199999999999994	0.12127987851550233	0.016654145089065868	0.0	0.0	0.0	0.0	0.7111398963730571	0.11063986326526135		0.3085193072530668	0.28520239239288725
17056	3480270	Westwood borough, New Jersey	803.0	0.0	11246	2.5	66.8	438	3342	0.15291550971836573	0.35044150151706266	0	0.001	1.130454443	0.0					0.6679999999999999	0.07140316556998044	0.0	0.03894718121998933	0.2971723279388227	0.0006130415112338337	0.08503401360544217	0.21713832253351467	0.4619409358370645	0.0	0.0009999999999999998	0.16274253360318933	0.0					0.7564766839378237	0.43151978131800506	0.0	0.10483991590993634	0.5056515304206108
17057	3480390	Wharton borough, New Jersey	470.0		6591	8.0	62.9	123	977	0.028259473346178548	0.5709134124539429	0	1.0							0.629	0.07130936125018965		0.018661811561219845	0.14823243817326656	6.885611176901755e-05	0.272108843537415	0.040128137749867475	0.7530832584188721	0.0	0.9999999999999998							0.705958549222798	0.43095240347225316		0.05023477164507112	0.25001819531993746
17058	3480630	White Horse CDP, New Jersey	631.0		8505	5.1	64.4	291	1397	0.03542857142857143	0.25057442466763424	48	0.4059999999999999							0.644	0.07419165196942974		0.03421516754850088	0.16425631981187536	0.00029260924916443284	0.17346938775510204	0.05030817726682736	0.3300623097579237	0.00118805999702985	0.4059999999999998							0.7253886010362695	0.4483860131691242		0.09210205145188163	0.2775208227959201
17060	3480750	White Meadow Lake CDP, New Jersey	555.0		9281	7.4	68.6	163	3021	0.04275132275132275	0.23516626481981784	0	0.0							0.6859999999999999	0.05979959056136192		0.017562762633336924	0.3255037172718457	0.00038332629964449674	0.25170068027210885	0.06070640267562202	0.30971519421952154	0.0	0.0							0.7797927461139896	0.36133525883445916		0.04727629830834058	0.5542781780879116
17065	3481380	Williamstown CDP, New Jersey	612.0	7.0	15191	9.8	57.3	793	2146	0.04803357686926784	0.2718884763106518	47	0.055	0.716344312	0.0					0.573	0.04028701204660654	0.0004607991573958265	0.05220196168784148	0.1412678559673491	0.0010742254856460141	0.33333333333333337	0.06820714475521103	0.35820840089763956	0.0011633087470917282	0.054999999999999986	0.09222457742914436	0.0					0.6334196891191709	0.2433129248155359	0.0015928586258057654	0.14051977838329732	0.23806451803654513
17066	3481380	Williamstown CDP, New Jersey	612.0	7.0	15191	9.8	57.3	793	2146	0.04803357686926784	0.2718884763106518	47	0.055	0.716344312	0.0					0.573	0.04028701204660654	0.0004607991573958265	0.05220196168784148	0.1412678559673491	0.0010742254856460141	0.33333333333333337	0.06820714475521103	0.35820840089763956	0.0011633087470917282	0.054999999999999986	0.09222457742914436	0.0					0.6334196891191709	0.2433129248155359	0.0015928586258057654	0.14051977838329732	0.23806451803654513
17068	3481950	Woodbridge CDP, New Jersey	835.0		18836	5.9	65.5	844	4805	0.1625380269448066	0.5673290409061541	0	0.15230460921843686	0.7036059809999999	0.0					0.655	0.04433000637077936		0.044807814822679974	0.2550966234869399	0.0015003384353880667	0.20068027210884357	0.2308021899394268	0.7483499468011481	0.0	0.15230460921843683	0.09005539343690708	0.0					0.7396373056994819	0.2677670801801539		0.12061585436911511	0.43343479471148805
17069	3482120	Woodbury city, New Jersey			9980	9.0	58.9	1040	1566	0.04426268943949964	0.50382522572023	80	0.07607607607607608							0.589			0.10420841683366733	0.15691382765531062	0.00046504178712589443	0.30612244897959184	0.0628525265580731	0.6644905192329397	0.00198009999504975	0.07607607607607607							0.6541450777202072			0.28051328275182097	0.2649185188672163
17072	3482423	Woodland Park borough, New Jersey	909.0		12542	5.9	61.0	388	2282	0.054457162677766215	0.34863875034076686	0	0.15	0.481538815	0.003595809	0.0	0.0	0.0	0.0	0.61	0.07247647903045766		0.0309360548556849	0.18194865252750758	0.0007645483378087858	0.20068027210884357	0.0773285651374622	0.4595603279751673	0.0	0.14999999999999997	0.052240035860730415	0.0028694555821836454	0.0	0.0	0.0	0.0	0.6813471502590673	0.43801174544481986		0.08327517648416025	0.30788710025810306
17074	3482570	Wood-Ridge borough, New Jersey	968.0		8350	6.2	61.6	338	1910	0.11996735582154516	0.31748614785062335	0	0.19							0.616	0.11592814371257484		0.04047904191616766	0.22874251497005987	0.0002744892197515335	0.2108843537414966	0.1703523105658062	0.4184220214901982	0.0	0.18999999999999995							0.689119170984456	0.7008302590981075		0.10896345300665046	0.3882018576898501
17077	3483170	Yardville CDP, New Jersey	577.0		7146	3.5	65.4	210	1440	0.013680257510729614	0.13393699454893448	30	0.0							0.654	0.08074447243212986		0.02938706968933669	0.20151133501259447	0.00013373750740875397	0.11904761904761905	0.01942581346507832	0.17603773510608284	0.0007425374981436562	0.0							0.7383419689119172	0.4880209166151244		0.07910554290609947	0.34146355700887737
17078	3483245	Yorketown CDP, New Jersey	603.0		6563	5.2	61.9	124	1795	0.11657101865136299	0.0692641152655894	0	0.0							0.619	0.09187871400274265		0.018893798567728173	0.27350297120219413	6.558281613313896e-05	0.17687074829931973	0.1655295495702091	0.09063450980362427	0.0	0.0							0.6930051813471503	0.5553666637033696		0.0508592455477434	0.46502657352158117
17087	3501780	Alamogordo city, New Mexico	20.0	7.0	30963	7.6	52.0	2856	3154	0.002519276280632109	0.2997092906821017	689	0.424	1.297353399	0.0					0.52	0.0006459322417078448	0.0002260762845977457	0.09223912411588024	0.10186351451732713	0.0029180261559701988	0.2585034013605442	0.0035773442902059505	0.3949469426819496	0.01705361120736597	0.4239999999999999	0.1911634110066978	0.0					0.5647668393782384	0.00354283199737517	0.0007814848491623997	0.24829375870086948	0.17043278258830044
17088	3502000	Albuquerque city, New Mexico	480.0	3000.0	556718	6.5	59.7	56677	101000	0.02177320072773415	0.3898432537491753	7373	0.5654345654345654	0.490410487	0.039763012	0.0	0.0	0.0	0.0	0.597	0.0008621959412126067	0.005388724632578792	0.10180558200022273	0.181420395963486	0.06438058140744699	0.22108843537414968	0.030917702794917134	0.5139725874424902	0.18249096579377258	0.5654345654345653	0.053750774503554165	0.03173088357803078	0.0	0.0	0.0	0.0	0.6645077720207254	0.004850908557314078	0.01862737024434688	0.2740452151281105	0.30698042584426927
17089	3502000	Albuquerque city, New Mexico	480.0	3000.0	556718	6.5	59.7	56677	101000	0.02177320072773415	0.3898432537491753	7373	0.5654345654345654	0.490410487	0.039763012	0.0	0.0	0.0	0.0	0.597	0.0008621959412126067	0.005388724632578792	0.10180558200022273	0.181420395963486	0.06438058140744699	0.22108843537414968	0.030917702794917134	0.5139725874424902	0.18249096579377258	0.5654345654345653	0.053750774503554165	0.03173088357803078	0.0	0.0	0.0	0.0	0.6645077720207254	0.004850908557314078	0.01862737024434688	0.2740452151281105	0.30698042584426927
17094	3503820	Anthony city, New Mexico	330.0		9397	9.8	56.4	1990	278	0.0	0.17272898093436218	93								0.564	0.035117590720442696		0.21176971373842715	0.029583909758433544	0.00039688709585027944	0.33333333333333337	0.0	0.22726416556528395	0.0023018662442453345								0.621761658031088	0.21204554669943032		0.5700520110865697	0.04637551053472948
17103	3505220	Artesia city, New Mexico	18.0	0.0	11842	6.4	55.8	769	899	0.0	0.16509665143318053	182		0.774041533	0.015514645	0.002386868460822401	0.0	0.0	0.0	0.5579999999999999	0.001520013511231211	0.0	0.06493835500760006	0.07591623036649214	0.000682715946911821	0.217687074829932	0.0	0.217185357211689	0.004504727488738181		0.10204971764490543	0.012380686710792364	0.005289300508082266	0.0	0.0	0.0	0.6139896373056993	0.008829735082652234	0.0	0.17480422112890073	0.1258980995378183
17105	3505780	Aztec city, New Mexico	66.0		6635	5.3	60.4	461	472	0.005496518871381458	0.3091809763439468	74	0.133							0.604	0.009947249434815373		0.0694800301431801	0.07113790504898267	7.399986205396962e-05	0.18027210884353742	0.00780499564565904	0.407454697300831	0.0018315924954210188	0.13299999999999998							0.6735751295336787	0.0598020887506927		0.18702972306227506	0.1176968094802409
17108	3506480	Belen city, New Mexico	25.0		7125	13.2	41.5	1246	375	0.008803728638011392	0.26342325166879976	159	0.0							0.415	0.0035087719298245615		0.17487719298245613	0.05263157894736842	0.00013128253568184503	0.4489795918367347	0.012501196719801823	0.34702971989046505	0.003935448740161378	0.0							0.42875647668393774	0.020858791631210214		0.4707429301054674	0.0859334325282167
17111	3506970	Bernalillo town, New Mexico	470.0		8991	10.4	43.4	974	571	0.007465218866644045	0.5668492230193651	77	0.5454545454545455							0.434	0.05227449671894116		0.10833055277499722	0.06350795239684129	0.00034942430913003985	0.35374149659863946	0.010600527736094954	0.747716327337415	0.0019058462452353844	0.5454545454545454							0.45336787564766834	0.3158195347940755		0.2916094486853018	0.1046011220442066
17115	3507880	Bloomfield city, New Mexico	66.0		8039	9.3	58.2	759	424	0.00637370010063737	0.4978808808443641	81	0.42100000000000004							0.5820000000000001	0.008209976365219555		0.09441472820002487	0.052742878467471076	0.00023813225751016768	0.3163265306122449	0.009050583232093635	0.656640764740258	0.0020048512449878718	0.42099999999999993							0.645077720207254	0.04929414781675263		0.25415015554629694	0.08612446172505397
17132	3512150	Carlsbad city, New Mexico	29.0	0.0	28393	4.7	61.8	2431	2539	0.009717795226618985	0.12593404146647513	231	0.055999999999999994	1.209244424	0.0					0.618	0.0010213785087873771	0.0	0.08561969499524531	0.08942344944176381	0.002617584377962771	0.1598639455782313	0.01379916110614652	0.16546950290797974	0.005717538735706153	0.05599999999999998	0.17615951621526604	0.0					0.6917098445595855	0.005813728419696315	0.0	0.23047525757599296	0.14908124721962657
17146	3514250	Chaparral CDP, New Mexico	323.0	556.0	14652	12.1	49.9	3099	710	0.0048721071863581	0.27226942400228205	0	0.0	0.548524566	0.025762406	0.0	0.012881203	0.0	0.0	0.499	0.022044772044772044	0.037947037947037944	0.2115069615069615	0.04845754845754846	0.0010112145446553513	0.41156462585034015	0.00691833799983874	0.3587114581590026	0.0	0.0	0.06364690060440771	0.02055839998931574	0.0	0.01027919999465787	0.0	0.0	0.5375647668393781	0.13297426603080456	0.13117269367269366	0.5693447218556389	0.07876932533971162
17158	3516420	Clovis city, New Mexico	27.0	34.0	39255	8.8	53.5	4861	3841	0.0013111888111888112	0.4802512491617372	537	0.8571428571428572	1.209244424	0.0					0.535	0.0006878104700038212	0.0008661317029677748	0.12383135906253981	0.09784740797350656	0.003887389277852531	0.2993197278911565	0.0018618735242135946	0.6333601033057441	0.013291421216771447	0.857142857142857	0.17615951621526604	0.0					0.5841968911917098	0.003796133540496746	0.0029939841078549523	0.3333352726555384	0.1635397285412448
17159	3516420	Clovis city, New Mexico	27.0	33.0	39255	8.8	53.5	4861	3841	0.0013111888111888112	0.4802512491617372	537	0.8571428571428572	1.209244424	0.0					0.535	0.0006878104700038212	0.0008406572411157814	0.12383135906253981	0.09784740797350656	0.003887389277852531	0.2993197278911565	0.0018618735242135946	0.6333601033057441	0.013291421216771447	0.857142857142857	0.17615951621526604	0.0					0.5841968911917098	0.003796133540496746	0.002905925751741571	0.3333352726555384	0.1635397285412448
17167	3517960	Corrales village, New Mexico	471.0		8463	5.2	52.1	326	2570	0.016320979258755527	0.20894914521786379	0	0.188							0.521	0.05565402339595888		0.03852061916578046	0.3036748198038521	0.00028769930571061496	0.17687074829931973	0.023175608967837904	0.27509439803790187	0.0	0.18799999999999994							0.5660621761658031	0.3362606889961831		0.10369167543417439	0.5168120978450865
17181	3520270	Deming city, New Mexico	12.0	3.0	14339	11.7	45.1	2228	965	0.00024055809477988935	0.17017471306084486	251	0.0	0.890176918	0.0					0.451	0.0008368784434060953	0.0002092196108515238	0.15538043099239834	0.06729897482390683	0.0009746237755828512	0.3979591836734694	0.0003415898182503973	0.2238911486669779	0.006212563734468591	0.0	0.1218261717246677	0.0					0.4753886010362694	0.004697775019356298	0.0007232158663569501	0.4182605983031183	0.11110785243052336
17195	3522625	Eldorado at Santa Fe CDP, New Mexico	52.0		6203	4.7	50.9	176	2219	0.019759450171821305	0.10487818040854102	0	0.413							0.509	0.008383040464291471		0.028373367725294214	0.35773013058197645	2.3497586528985616e-05	0.1598639455782313	0.028058199409569357	0.13766436316788003	0.0	0.41299999999999987							0.5505181347150259	0.05034093048014609		0.07637681067596301	0.6095900594500435
17207	3525170	Española city, New Mexico	62.0	4.0	10069	8.6	47.2	1707	732	0.02649970879440885	0.4257545643770254	221	0.736	0.509894223	0.011869507	0.0	0.0	0.0	0.0	0.47200000000000003	0.0061575131592015095	0.00039725891349687157	0.16953024133478994	0.0726983811699275	0.0004754461911113657	0.2925170068027211	0.03762929166467328	0.5613949658249334	0.005470026236324935	0.7359999999999999	0.057068619536798856	0.0094718665866062	0.0	0.0	0.0	0.0	0.5025906735751295	0.03687977121967536	0.0013732171096358203	0.4563497457065896	0.12037513639299749
17211	3525800	Farmington city, New Mexico	69.0	26.0	45857	6.6	57.3	3625	4399	0.002316061618011419	0.5115223281066066	628	0.767	0.673212362	0.0					0.573	0.0015046775846653728	0.000566979959439126	0.0790500904987243	0.09592864775279673	0.004659185627426477	0.22448979591836735	0.0032887817301560252	0.6746548628738002	0.015543784961140538	0.7669999999999998	0.08487972703281078	0.0					0.6334196891191709	0.00873697533558578	0.00195989707133044	0.2127908767966388	0.1602464598591567
17212	3525800	Farmington city, New Mexico	69.0	26.0	45857	6.6	57.3	3625	4399	0.002316061618011419	0.5115223281066066	628	0.767	0.673212362	0.0					0.573	0.0015046775846653728	0.000566979959439126	0.0790500904987243	0.09592864775279673	0.004659185627426477	0.22448979591836735	0.0032887817301560252	0.6746548628738002	0.015543784961140538	0.7669999999999998	0.08487972703281078	0.0					0.6334196891191709	0.00873697533558578	0.00195989707133044	0.2127908767966388	0.1602464598591567
17221	3528460	Gallup city, New Mexico	17.0	0.0	22063	9.2	54.4	3032	2077	0.0021537219006595772	0.595318259060048	508	0.8121878121878122	0.760322845	0.023394549	0.007798182999220183	0.0	0.0	0.0	0.544	0.0007705207813987219	0.0	0.13742464760005438	0.09413950958618501	0.0018775857574230745	0.3129251700680272	0.003058261137632309	0.7853108727800884	0.012573634968565913	0.812187812187812	0.09971359069043255	0.018668850103194808	0.017280773522677526	0.0	0.0	0.0	0.5958549222797928	0.004296408990554583	0.0	0.3699263476081231	0.15717566829883806
17222	3528460	Gallup city, New Mexico	17.0	0.0	22063	9.2	54.4	3032	2077	0.0021537219006595772	0.595318259060048	508	0.8121878121878122	0.760322845	0.023394549	0.007798182999220183	0.0	0.0	0.0	0.544	0.0007705207813987219	0.0	0.13742464760005438	0.09413950958618501	0.0018775857574230745	0.3129251700680272	0.003058261137632309	0.7853108727800884	0.012573634968565913	0.812187812187812	0.09971359069043255	0.018668850103194808	0.017280773522677526	0.0	0.0	0.0	0.5958549222797928	0.004296408990554583	0.0	0.3699263476081231	0.15717566829883806
17230	3530490	Grants city, New Mexico	5.0		9094	12.1	46.5	1151	620	0.0025547445255474453	0.5138518264014382	87	1.0							0.465	0.0005498130635583901		0.12656696723114141	0.06817681988124037	0.0003614653609334504	0.41156462585034015	0.0036277088033825947	0.6777310622006242	0.002153358744616603	0.9999999999999998							0.49352331606217614	0.00296145267118305		0.34069911572132433	0.11261454388880932
17241	3532520	Hobbs city, New Mexico	15.0	0.0	37427	6.2	56.2	3014	2524	0.006659343677056158	0.228243595477296	565	0.8759999999999999	0.386853328	0.0026981920000000003	0.0	0.0	0.0	0.0	0.562	0.00040078018542763244	0.0	0.08053009859192561	0.06743794586795629	0.0036736898341958855	0.2108843537414966	0.009456193932671251	0.3005735216033455	0.01398445621503886	0.8759999999999997	0.03611624046731585	0.0021531572161378023	0.0	0.0	0.0	0.0	0.6191709844559585	0.0020600234669777297	0.0	0.21677483453573224	0.11134637571349816
17278	3539380	Las Cruces city, New Mexico	59.0	3000.0	101014	8.3	55.0	13746	14895	0.005573208251374389	0.1920606861245664	1742	0.909	0.724829322	0.0					0.55	0.000584077454610252	0.029698853624250104	0.136080147306314	0.14745480824440177	0.011107227319860604	0.28231292517006806	0.007913893712038766	0.2527924858153596	0.04311667739220831	0.9089999999999998	0.09366947220114968	0.0					0.6036269430051814	0.003168701723512029	0.10266094113382607	0.36630715635162514	0.24868350833646574
17282	3539940	Las Vegas city, New Mexico	26.0	3.0	13445	7.1	39.0	2566	1401	0.014875105248386191	0.5325380848439563	288	0.434	1.209244424	0.0					0.39	0.0019338043882484194	0.00022313127556712533	0.19085161770174786	0.10420230568984752	0.0008701121220658704	0.24149659863945577	0.021122483959232607	0.7024070431915821	0.0071283599821791	0.4339999999999999	0.17615951621526604	0.0					0.3963730569948186	0.011332559866387405	0.0007713047458305918	0.5137436631962771	0.17444697239652782
17292	3542320	Los Alamos CDP, New Mexico	59.0		12035	3.3	65.9	407	4561	0.03994961310059385	0.22933475930628644	132	0.9320679320679319	1.209244424	0.0					0.659	0.004902368093061903		0.03381803074366431	0.37897798088907353	0.0007052783061162697	0.11224489795918367	0.05672800614210044	0.30201444879511136	0.0032671649918320877	0.9320679320679317	0.17615951621526604	0.0					0.744818652849741	0.029287993939901055		0.09103301929295256	0.6460588580121547
17296	3543370	Los Lunas village, New Mexico	332.0	9.0	15258	7.2	53.9	1186	1561	0.013739130434782608	0.24614832135208686	216	0.37962037962037964	0.876420975	0.0					0.539	0.021759077205400445	0.0005898545025560362	0.07772971555905099	0.10230698649888582	0.0010820580144890093	0.2448979591836735	0.019509412362240904	0.3242174563532448	0.005346269986634325	0.37962037962037953	0.11948370069343699	0.0					0.5893782383419689	0.13124623343202219	0.0020389682083547596	0.2092366273411252	0.17119393678176736
17297	3543370	Los Lunas village, New Mexico	332.0	9.0	15258	7.2	53.9	1186	1561	0.013739130434782608	0.24614832135208686	216	0.37962037962037964	0.876420975	0.0					0.539	0.021759077205400445	0.0005898545025560362	0.07772971555905099	0.10230698649888582	0.0010820580144890093	0.2448979591836735	0.019509412362240904	0.3242174563532448	0.005346269986634325	0.37962037962037953	0.11948370069343699	0.0					0.5893782383419689	0.13124623343202219	0.0020389682083547596	0.2092366273411252	0.17119393678176736
17299	3543930	Los Ranchos de Albuquerque village, New Mexico	474.0		6097	2.5	56.2	314	1572	0.01690251572327044	0.1792739428362704	48	0.442							0.562	0.07774315237001804		0.051500738067902244	0.2578317205182877	1.1105824478873799e-05	0.08503401360544217	0.024001384277545897	0.2359070598062494	0.00118805999702985	0.4419999999999999							0.6191709844559585	0.4698673548703046		0.13863219055163264	0.43812918502591597
17301	3544490	Lovington city, New Mexico	14.0	0.0	11558	8.9	53.6	724	410	0.0032863849765258214	0.2084049789158955	197	1.0	1.056152086	0.0					0.536	0.001211282228759301	0.0	0.06264059525869528	0.035473265270808095	0.0006495153768907666	0.30272108843537415	0.004666630103881835	0.27437580381720245	0.004875996237810009	0.9999999999999998	0.15008973918373994	0.0					0.5854922279792746	0.006962365964089223	0.0	0.16861899972620842	0.056483719917666785
17350	3552500	North Hobbs CDP, New Mexico			6083	3.5	62.7	206	562	0.0	0.06103761526776652	41								0.627			0.03386486930790728	0.09238862403419365	9.469176660934503e-06	0.11904761904761905	0.0	0.07977107461177761	0.0010148012474629968								0.7033678756476685			0.09115910161734052	0.1541705317048761
17354	3552750	North Valley CDP, New Mexico	471.0		11999	4.9	53.0	799	1712	0.030183468139672518	0.3643421464134269	11	0.536	0.386853328	0.0026981920000000003	0.0	0.0	0.0	0.0	0.53	0.0392532711059255		0.06658888240686724	0.14267855654637887	0.0007010697831558544	0.16666666666666669	0.04286018895116116	0.48029731522033703	0.00027226374931934064	0.5359999999999999	0.03611624046731585	0.0021531572161378023	0.0	0.0	0.0	0.0	0.577720207253886	0.23706031609455963		0.17924719102622938	0.2404857773406408
17384	3559260	Portales city, New Mexico	27.0	14.0	12123	12.6	51.2	1897	1274	0.0009242144177449168	0.4192425857127783	234	0.5	0.958287877	0.008081135	0.0	0.0	0.0	0.0	0.512	0.0022271714922048997	0.0011548296626247628	0.15647941928565537	0.10508949929885342	0.000715565806686174	0.4285714285714286	0.0013123741908196871	0.5527956273202888	0.005791792485520518	0.4999999999999999	0.13342464580724012	0.0064487457304127195	0.0	0.0	0.0	0.0	0.5544041450777202	0.013106998355238757	0.0039919352280154054	0.421218908420615	0.17596970926377792
17398	3562060	Raton city, New Mexico	8.0		6249	8.4	43.1	804	273	0.0	0.15277230702074984	302								0.431	0.0012802048327732437		0.128660585693711	0.043686989918386945	2.8875143645071878e-05	0.28571428571428575	0.0	0.20091054813834425	0.007474877481312806								0.449481865284974	0.007379246110720603		0.3463348196846867	0.07058136581067967
17407	3563460	Rio Rancho city, New Mexico	471.0	2436.0	93317	7.2	58.4	6044	15138	0.01051769583130742	0.28095661021046325	304	0.151	0.673212362	0.0					0.584	0.005047311851002497	0.026104568299452405	0.06476847734067748	0.1622212458608828	0.010207421730240692	0.2448979591836735	0.014935011065483443	0.3701832486406238	0.0075243799811890505	0.15099999999999997	0.08487972703281078	0.0					0.6476683937823833	0.030164689995252573	0.09023646445820326	0.17434693616610605	0.2740279187653906
17408	3563460	Rio Rancho city, New Mexico	471.0	2426.0	93317	7.2	58.4	6044	15138	0.01051769583130742	0.28095661021046325	304	0.151	0.673212362	0.0					0.584	0.005047311851002497	0.02599740668902772	0.06476847734067748	0.1622212458608828	0.010207421730240692	0.2448979591836735	0.014935011065483443	0.3701832486406238	0.0075243799811890505	0.15099999999999997	0.08487972703281078	0.0					0.6476683937823833	0.030164689995252573	0.08986603562216793	0.17434693616610605	0.2740279187653906
17414	3564930	Roswell city, New Mexico	31.0	90.0	48163	6.8	53.5	4699	4423	0.012512457092237847	0.2899230236308499	948	0.938	0.6864089959999999	0.0					0.535	0.0006436476133131241	0.001868654361231651	0.09756452048252807	0.09183398044141769	0.004928764903724192	0.23129251700680273	0.01776754986322222	0.3820237702623891	0.023464184941339537	0.9379999999999997	0.08712695449331671	0.0					0.5841968911917098	0.0035290133636509324	0.006459435027526716	0.2626289195463452	0.15321856785129248
17417	3565210	Ruidoso village, New Mexico	7.0		7740	7.1	46.2	810	1081	0.0	0.12135797212881316	369								0.462	0.0009043927648578811		0.10465116279069768	0.13966408268733851	0.000203178136255607	0.24149659863945577	0.0	0.15942661313757392	0.009133211227166971								0.4896373056994819	0.005106137132616628		0.28170508784401344	0.2353118779415391
17447	3570500	Santa Fe city, New Mexico	64.0	52.0	82980	5.6	58.8	6854	16917	0.01952070207020702	0.22798641933731933	735	0.458	0.6824899090000001	0.015177685	0.0	0.0	0.0	0.0	0.588	0.0007712701855868884	0.0006266570257893469	0.08259821643769583	0.20386840202458423	0.008998991123523656	0.19047619047619047	0.027719179761476982	0.3002339098206597	0.01819216870451958	0.4579999999999999	0.08645958128841374	0.012111792630775156	0.0	0.0	0.0	0.0	0.6528497409326425	0.0043009417811001325	0.002166184622800675	0.22234189469902604	0.34550911459777567
17459	3572770	Shiprock CDP, New Mexico	6.0		8956	15.0	46.2	1412	585	0.0	0.07235488490087005	63								0.462	0.0006699419383653417		0.1576596694953104	0.06531933899062081	0.00034533268958519164	0.5102040816326531	0.0	0.09471599957870296	0.001559328746101678								0.4896373056994819	0.003688055266378869		0.4243959633153967	0.10771009974556912
17460	3573260	Silver City town, New Mexico	8.0		9882	8.0	53.9	1771	1339	0.0050661412890515055	0.1108112193030123	138	0.833							0.539	0.0008095527221210282		0.1792147338595426	0.13549888686500708	0.0004535852524003194	0.272108843537415	0.007193864266930545	0.14549918764218278	0.003415672491460819	0.8329999999999997							0.5893782383419689	0.00453249468993313		0.48241893351739756	0.2281629341556534
17462	3573540	Socorro city, New Mexico	3.0		8608	5.5	46.9	1396	732	0.004656577415599534	0.3243902297486442	421	0.16699999999999998							0.469	0.00034851301115241634		0.1621747211895911	0.08503717472118959	0.00030465030096784337	0.1870748299319728	0.006612288123245175	0.4275391486133004	0.01042027622394931	0.16699999999999995							0.4987046632124352	0.001743884116359867		0.4365497989751249	0.14155285413935004
17466	3574520	South Valley CDP, New Mexico	477.0		41391	9.6	50.6	5819	2652	0.01759720514977033	0.382137537671445	225	0.4774774774774775	0.386853328	0.0026981920000000003	0.0	0.0	0.0	0.0	0.506	0.011524244400956729		0.14058611775506752	0.06407189968833804	0.004137094973503841	0.326530612244898	0.024987835534385532	0.5037968690641583	0.005569031236077422	0.4774774774774774	0.03611624046731585	0.0021531572161378023	0.0	0.0	0.0	0.0	0.5466321243523315	0.06934058344524839		0.3784365466731388	0.10556905432328396
17469	3575640	Sunland Park city, New Mexico	335.0	1369.0	16051	11.0	54.5	2579	998	0.0118137595552467	0.16554941317808458	72	0.22022022022022023	0.643315018	0.027472527000000004	0.0	0.0	0.0	0.0	0.545	0.020870973771104605	0.0852906360974394	0.1606753473303844	0.06217681141361909	0.0011747624230337137	0.3741496598639456	0.016775407134077363	0.2177832479154408	0.001782089995544775	0.22022022022022017	0.07978857027018538	0.02192307654740308	0.0	0.0	0.0	0.0	0.5971502590673575	0.12587451692174373	0.2948267661252833	0.4325137115255894	0.10231641504216762
17492	3579840	Truth or Consequences city, New Mexico	4.0		6029	11.0	38.7	886	456	0.0022509848058525606	0.16903672998224362	199	0.0							0.387	0.0006634599436059048		0.1469563775087079	0.07563443357107315	3.1563922203115007e-06	0.3741496598639456	0.0031963733809046743	0.22238839471000052	0.004925498737686253	0.0							0.39248704663212436	0.003648848754024356		0.39558432158202844	0.12541443693576435
